REGION,TIMESLICE,FUEL,YEAR,VALUE
"W","S16","ELC",2030,6.47690057168
"W","S16","ELC",2031,6.58216114864
"W","S16","ELC",2032,6.67613627296
"W","S16","ELC",2033,6.75091558064
"W","S16","ELC",2034,6.81483132176
"W","S16","ELC",2035,6.8962553352
"W","S16","ELC",2036,6.9774684056
"W","S16","ELC",2037,7.05963071968
"W","S16","ELC",2038,7.14854321104
"W","S16","ELC",2039,7.23682287328
"W","S16","ELC",2040,7.3228876336
"W","S16","ELC",2041,7.41563819243891
"W","S16","ELC",2042,7.5013163226439
"W","S16","ELC",2043,7.5869944539036
"W","S16","ELC",2044,7.67267258410859
"W","S16","ELC",2045,7.7583507153683
"W","S16","ELC",2046,7.84402884557329
"W","S16","ELC",2047,7.929706976833
"W","S16","ELC",2048,8.01538510703799
"W","S16","ELC",2049,8.10106323829769
"W","S16","ELC",2050,8.18674136850268
"W","S17","ELC",2019,5.53920883942
"W","S17","ELC",2020,5.60268342894
"W","S17","ELC",2021,5.66615801846
"W","S17","ELC",2022,5.7358329404
"W","S17","ELC",2023,5.82505467302
"W","S17","ELC",2024,5.906079356
"W","S17","ELC",2025,6.00875265726
"W","S17","ELC",2026,6.13654255934
"W","S17","ELC",2027,6.21956395954
"W","S17","ELC",2028,6.2891337911
"W","S17","ELC",2029,6.35912398418
"W","S17","ELC",2030,6.45349514542
"W","S17","ELC",2031,6.55837534466
"W","S17","ELC",2032,6.65201087324
"W","S17","ELC",2033,6.72651995266
"W","S17","ELC",2034,6.79020472294
"W","S17","ELC",2035,6.8713344963
"W","S17","ELC",2036,6.9522540889
"W","S17","ELC",2037,7.03411949492
"W","S17","ELC",2038,7.12271068526
"W","S17","ELC",2039,7.21067133332
"W","S17","ELC",2040,7.2964250834
"W","S17","ELC",2041,7.38884047168295
"W","S17","ELC",2042,7.47420898880427
"W","S17","ELC",2043,7.5595775069765
"W","S17","ELC",2044,7.64494602409782
"W","S17","ELC",2045,7.73031454227005
"W","S17","ELC",2046,7.81568305939137
"W","S17","ELC",2047,7.9010515775636
"W","S17","ELC",2048,7.98642009468492
"W","S17","ELC",2049,8.07178861285715
"W","S17","ELC",2050,8.15715712997847
"W","S18","ELC",2019,5.52537641655
"W","S18","ELC",2020,5.58869249835
"W","S18","ELC",2021,5.65200858015
"W","S18","ELC",2022,5.721509511
"W","S18","ELC",2023,5.81050844055
"W","S18","ELC",2024,5.89133079
"W","S18","ELC",2025,5.99374769715
"W","S18","ELC",2026,6.12121848435
"W","S18","ELC",2027,6.20403256485
"W","S18","ELC",2028,6.27342866775
"W","S18","ELC",2029,6.34324408245
"W","S18","ELC",2030,6.43737958155
"W","S18","ELC",2031,6.54199787565
"W","S18","ELC",2032,6.6353995791
"W","S18","ELC",2033,6.70972259565
"W","S18","ELC",2034,6.77324833335
"W","S18","ELC",2035,6.85417551075
"W","S18","ELC",2036,6.93489303225
"W","S18","ELC",2037,7.0165540053
"W","S18","ELC",2038,7.10492396715
"W","S18","ELC",2039,7.1926649613
"W","S18","ELC",2040,7.2782045685
"W","S18","ELC",2041,7.3703891785676
"W","S18","ELC",2042,7.45554451480645
"W","S18","ELC",2043,7.54069985209357
"W","S18","ELC",2044,7.62585518833242
"W","S18","ELC",2045,7.71101052561954
"W","S18","ELC",2046,7.79616586185839
"W","S18","ELC",2047,7.88132119914552
"W","S18","ELC",2048,7.96647653538436
"W","S18","ELC",2049,8.05163187267149
"W","S18","ELC",2050,8.13678720891033
"W","S19","ELC",2019,5.43052551687
"W","S19","ELC",2020,5.49275468859
"W","S19","ELC",2021,5.55498386031
"W","S19","ELC",2022,5.6232917094
"W","S19","ELC",2023,5.71076284647
"W","S19","ELC",2024,5.790197766
"W","S19","ELC",2025,5.89085654211
"W","S19","ELC",2026,6.01613911299
"W","S19","ELC",2027,6.09753157269
"W","S19","ELC",2028,6.16573639335
"W","S19","ELC",2029,6.23435332773
"W","S19","ELC",2030,6.32687285787
"W","S19","ELC",2031,6.42969523101
"W","S19","ELC",2032,6.52149356214
"W","S19","ELC",2033,6.59454071901
"W","S19","ELC",2034,6.65697594759
"W","S19","ELC",2035,6.73651389555
"W","S19","ELC",2036,6.81584578665
"W","S19","ELC",2037,6.89610493362
"W","S19","ELC",2038,6.98295790011
"W","S19","ELC",2039,7.06919269602
"W","S19","ELC",2040,7.1532638949
"W","S19","ELC",2041,7.24386602577661
"W","S19","ELC",2042,7.32755955024991
"W","S19","ELC",2043,7.41125307575349
"W","S19","ELC",2044,7.49494660022679
"W","S19","ELC",2045,7.57864012573037
"W","S19","ELC",2046,7.66233365020366
"W","S19","ELC",2047,7.74602717570724
"W","S19","ELC",2048,7.82972070018054
"W","S19","ELC",2049,7.91341422568412
"W","S19","ELC",2050,7.99710775015741
"W","S20","ELC",2019,5.3294175318
"W","S20","ELC",2020,5.3904880926
"W","S20","ELC",2021,5.4515586534
"W","S20","ELC",2022,5.518594716
"W","S20","ELC",2023,5.6044372758
"W","S20","ELC",2024,5.68239324
"W","S20","ELC",2025,5.7811779054
"W","S20","ELC",2026,5.9041279086
"W","S20","ELC",2027,5.9840049666
"W","S20","ELC",2028,6.050939919
"W","S20","ELC",2029,6.1182793122
"W","S20","ELC",2030,6.2090762718
"W","S20","ELC",2031,6.3099842514
"W","S20","ELC",2032,6.4000734396
"W","S20","ELC",2033,6.4717605714
"W","S20","ELC",2034,6.5330333526
"W","S20","ELC",2035,6.611090427
"W","S20","ELC",2036,6.688945281
"W","S20","ELC",2037,6.7677101268
"W","S20","ELC",2038,6.8529460254
"W","S20","ELC",2039,6.9375752628
"W","S20","ELC",2040,7.020081186
"W","S20","ELC",2041,7.10899644534502
"W","S20","ELC",2042,7.19113172585158
"W","S20","ELC",2043,7.27326700736923
"W","S20","ELC",2044,7.35540228787579
"W","S20","ELC",2045,7.43753756939344
"W","S20","ELC",2046,7.5196728499
"W","S20","ELC",2047,7.60180813141765
"W","S20","ELC",2048,7.68394341192421
"W","S20","ELC",2049,7.76607869344186
"W","S20","ELC",2050,7.84821397394842
"W","S21","ELC",2019,5.27408784032
"W","S21","ELC",2020,5.33452437024
"W","S21","ELC",2021,5.39496090016
"W","S21","ELC",2022,5.4613009984
"W","S21","ELC",2023,5.54625234592
"W","S21","ELC",2024,5.623398976
"W","S21","ELC",2025,5.72115806496
"W","S21","ELC",2026,5.84283160864
"W","S21","ELC",2027,5.92187938784
"W","S21","ELC",2028,5.9881194256
"W","S21","ELC",2029,6.05475970528
"W","S21","ELC",2030,6.14461401632
"W","S21","ELC",2031,6.24447437536
"W","S21","ELC",2032,6.33362826304
"W","S21","ELC",2033,6.40457114336
"W","S21","ELC",2034,6.46520779424
"W","S21","ELC",2035,6.5424544848
"W","S21","ELC",2036,6.6195010544
"W","S21","ELC",2037,6.69744816832
"W","S21","ELC",2038,6.78179915296
"W","S21","ELC",2039,6.86554977472
"W","S21","ELC",2040,6.9471991264
"W","S21","ELC",2041,7.03519127288361
"W","S21","ELC",2042,7.11647382986026
"W","S21","ELC",2043,7.19775638783752
"W","S21","ELC",2044,7.27903894481417
"W","S21","ELC",2045,7.36032150279142
"W","S21","ELC",2046,7.44160405976807
"W","S21","ELC",2047,7.52288661774532
"W","S21","ELC",2048,7.60416917472198
"W","S21","ELC",2049,7.68545173269923
"W","S21","ELC",2050,7.76673428967588
"W","S22","ELC",2019,5.24312973626
"W","S22","ELC",2020,5.30321151282
"W","S22","ELC",2021,5.36329328938
"W","S22","ELC",2022,5.4292439812
"W","S22","ELC",2023,5.51369667706
"W","S22","ELC",2024,5.590390468
"W","S22","ELC",2025,5.68757572578
"W","S22","ELC",2026,5.80853506402
"W","S22","ELC",2027,5.88711884462
"W","S22","ELC",2028,5.9529700633
"W","S22","ELC",2029,6.01921917454
"W","S22","ELC",2030,6.10854605426
"W","S22","ELC",2031,6.20782024798
