REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"W","S2","MIN_GS",1,2041,1947.13877567091
"W","S2","MIN_GS",1,2042,2166.02503303853
"W","S2","MIN_GS",1,2043,2164.23491959253
"W","S2","MIN_GS",1,2044,2182.61539807398
"W","S2","MIN_GS",1,2045,2393.85386666989
"W","S2","MIN_GS",1,2046,2422.68945806919
"W","S2","MIN_GS",1,2047,2440.68511370993
"W","S2","MIN_GS",1,2048,2439.22572050345
"W","S2","MIN_GS",1,2049,2437.82428060997
"W","S2","MIN_GS",1,2050,2453.64426213473
"W","S2","MIN_CL",1,2019,3810.71678178566
"W","S2","MIN_CL",1,2020,3713.63683295348
"W","S2","MIN_CL",1,2024,293.406216423205
"W","S2","MIN_CL",1,2034,178.430809464952
"W","S2","MIN_CL",1,2037,1019.85011397584
"W","S2","MIN_CL",1,2039,1040.60741228626
"W","S2","MIN_CL",1,2040,927.507745068825
"W","S2","MIN_CL",1,2044,2012.73129362304
"W","S2","MIN_CL",1,2047,1865.51879527584
"W","S2","MIN_CL",1,2050,1729.07357349024
"W","S3","HYD",1,2021,250.920541668753
"W","S3","HYD",1,2022,258.321952423589
"W","S3","HYD",1,2023,267.182814488863
"W","S3","HYD",1,2024,275.309068537167
"W","S3","HYD",1,2025,285.069656412435
"W","S3","HYD",1,2026,296.743216517306
"W","S3","HYD",1,2027,304.796077049193
"W","S3","HYD",1,2028,310.153657149471
"W","S3","HYD",1,2029,316.082400906567
"W","S3","HYD",1,2030,323.176438765653
"W","S3","HYD",1,2031,321.575710097798
"W","S3","HYD",1,2032,320.145916480082
"W","S3","HYD",1,2033,319.000778370229
"W","S3","HYD",1,2034,304.681348460681
"W","S3","HYD",1,2035,332.525393745568
"W","S3","HYD",1,2036,339.890101571783
"W","S3","HYD",1,2037,230.597070688708
"W","S3","HYD",1,2038,355.169373045208
"W","S3","HYD",1,2039,230.096179784985
"W","S3","HYD",1,2040,247.550644828257
"W","S3","HYD",1,2041,360.751323093256
"W","S3","HYD",1,2042,343.903432682409
"W","S3","HYD",1,2043,351.347127155367
"W","S3","HYD",1,2044,356.54404363383
"W","S3","HYD",1,2045,340.466501374268
"W","S3","HYD",1,2046,344.466695341059
"W","S3","HYD",1,2047,349.640683667169
"W","S3","HYD",1,2048,356.938855229809
"W","S3","HYD",1,2049,364.211998305798
"W","S3","HYD",1,2050,171.735213585477
"W","S3","WN",1,2019,31.374803162723
"W","S3","WN",1,2020,29.8060693122097
"W","S3","WN",1,2021,28.3157602398233
"W","S3","WN",1,2022,26.8999652193623
"W","S3","WN",1,2023,25.5549697617821
"W","S3","WN",1,2024,24.2772275813159
"W","S3","WN",1,2025,23.0633605954742
"W","S3","WN",1,2026,21.9102009758644
"W","S3","WN",1,2027,20.8146790126723
"W","S3","WN",1,2028,19.7739492671206
"W","S3","WN",1,2029,18.7852504020706
"W","S3","WN",1,2030,17.8459892836611
"W","S3","WN",1,2031,16.9536849135491
"W","S3","WN",1,2032,16.1060104797295
"W","S3","WN",1,2033,15.300709254896
"W","S3","WN",1,2034,14.5356646811404
"W","S3","WN",1,2035,13.8088863530123
"W","S3","WN",1,2036,13.1184399328207
"W","S3","WN",1,2037,12.4625172353327
"W","S3","WN",1,2038,11.839394176954
"W","S3","WN",1,2039,11.2474307757292
"W","S3","WN",1,2040,10.6850571344018
"W","S3","WN",1,2041,10.1508014742937
"W","S3","WN",1,2042,9.64326210142603
"W","S3","WN",1,2043,9.16109338957881
"W","S3","WN",1,2044,8.70304783111074
"W","S3","WN",1,2045,8.26789193532025
"W","S3","WN",1,2046,7.85449033008434
"W","S3","WN",1,2047,7.46177772797895
"W","S3","WN",1,2048,7.08868884158
"W","S3","WN",1,2049,6.73424248510218
"W","S3","WN",1,2050,6.3975415743989
"W","S3","GS",1,2019,12.610442232
"W","S3","GS",1,2020,12.1060302192
"W","S3","GS",1,2021,169.727937455128
"W","S3","GS",1,2022,169.263090507928
"W","S3","GS",1,2023,168.816805650328
"W","S3","GS",1,2024,168.388373322328
"W","S3","GS",1,2025,167.977083963928
"W","S3","GS",1,2026,167.582256397528
"W","S3","GS",1,2027,167.203209445528
"W","S3","GS",1,2028,168.398800926563
"W","S3","GS",1,2029,169.004505675933
"W","S3","GS",1,2030,170.327331304614
"W","S3","GS",1,2031,181.130661853292
"W","S3","GS",1,2032,190.827443614288
"W","S3","GS",1,2033,198.681691501173
"W","S3","GS",1,2034,198.396874117173
"W","S3","GS",1,2035,198.123438075573
"W","S3","GS",1,2036,197.860929257973
"W","S3","GS",1,2037,197.608921928373
"W","S3","GS",1,2038,197.367018733173
"W","S3","GS",1,2039,210.939200743054
"W","S3","GS",1,2040,213.782367051242
"W","S3","GS",1,2041,214.560746630403
"W","S3","GS",1,2042,238.680444411959
"W","S3","GS",1,2043,238.483186731959
"W","S3","GS",1,2044,240.508583809805
"W","S3","GS",1,2045,263.785550046269
"W","S3","GS",1,2046,266.963025682555
"W","S3","GS",1,2047,268.946018039662
"W","S3","GS",1,2048,268.785203361262
"W","S3","GS",1,2049,268.630774722862
"W","S3","GS",1,2050,270.374023375728
"W","S3","CL",1,2019,394.920036661428
"W","S3","CL",1,2020,402.022661178518
"W","S3","CL",1,2034,20.4154244239075
"W","S3","CL",1,2037,116.687656061309
"W","S3","CL",1,2039,119.062632984698
"W","S3","CL",1,2040,106.122167628012
"W","S3","CL",1,2050,197.834504976
"W","S3","MIN_HYD",1,2019,289.188663990705
"W","S3","MIN_HYD",1,2020,524.274142464
"W","S3","MIN_HYD",1,2021,418.432319913326
"W","S3","MIN_HYD",1,2022,428.100953662553
"W","S3","MIN_HYD",1,2023,439.800245462629
"W","S3","MIN_HYD",1,2024,437.481616108567
"W","S3","MIN_HYD",1,2025,463.584091968261
"W","S3","MIN_HYD",1,2026,479.213516742869
"W","S3","MIN_HYD",1,2027,489.878780092163
"W","S3","MIN_HYD",1,2028,497.447901821528
"W","S3","MIN_HYD",1,2029,505.586222238266
"W","S3","MIN_HYD",1,2030,515.599350181582
"W","S3","MIN_HYD",1,2031,517.307016892319
"W","S3","MIN_HYD",1,2032,518.838016792297
"W","S3","MIN_HYD",1,2033,520.06709449261
"W","S3","MIN_HYD",1,2034,304.681348460681
"W","S3","MIN_HYD",1,2035,332.525393745568
"W","S3","MIN_HYD",1,2036,489.266842611473
"W","S3","MIN_HYD",1,2037,230.597070688708
"W","S3","MIN_HYD",1,2038,476.498348567552
"W","S3","MIN_HYD",1,2039,520.41028284276
"W","S3","MIN_HYD",1,2040,247.550644828257
"W","S3","MIN_HYD",1,2041,501.45510245764
"W","S3","MIN_HYD",1,2042,526.201928051863
"W","S3","MIN_HYD",1,2043,494.956179207725
"W","S3","MIN_HYD",1,2044,558.963742464
"W","S3","MIN_HYD",1,2045,557.769002105447
"W","S3","MIN_HYD",1,2046,532.625243424454
"W","S3","MIN_HYD",1,2047,557.217610572705
"W","S3","MIN_HYD",1,2048,444.827584051447
"W","S3","MIN_HYD",1,2049,556.559752402518
"W","S3","MIN_HYD",1,2050,558.963742464
"W","S3","MIN_WN",1,2019,31.374803162723
"W","S3","MIN_WN",1,2020,29.8060693122097
"W","S3","MIN_WN",1,2021,28.3157602398233
"W","S3","MIN_WN",1,2022,26.8999652193623
"W","S3","MIN_WN",1,2023,25.5549697617821
"W","S3","MIN_WN",1,2024,24.2772275813159
"W","S3","MIN_WN",1,2025,28.2168151243194
"W","S3","MIN_WN",1,2026,21.9102009758644
"W","S3","MIN_WN",1,2027,20.8146790126723
"W","S3","MIN_WN",1,2028,19.7739492671206
"W","S3","MIN_WN",1,2029,18.7852504020706
"W","S3","MIN_WN",1,2030,17.8459892836611
"W","S3","MIN_WN",1,2031,16.9536849135491
"W","S3","MIN_WN",1,2032,16.1060104797295
"W","S3","MIN_WN",1,2033,15.300709254896
"W","S3","MIN_WN",1,2034,17.7836253012201
"W","S3","MIN_WN",1,2035,16.8944500383065
"W","S3","MIN_WN",1,2036,13.1184399328207
"W","S3","MIN_WN",1,2037,12.4625172353327
"W","S3","MIN_WN",1,2038,11.839394176954
"W","S3","MIN_WN",1,2039,11.2474307757292
"W","S3","MIN_WN",1,2040,10.6850571344018
"W","S3","MIN_WN",1,2041,10.1508014742937
"W","S3","MIN_WN",1,2042,9.64326210142603
"W","S3","MIN_WN",1,2043,9.16109338957881
"W","S3","MIN_WN",1,2044,8.70304783111073
"W","S3","MIN_WN",1,2045,8.26789193532025
"W","S3","MIN_WN",1,2046,9.60955800965257
"W","S3","MIN_WN",1,2047,7.46177772797895
"W","S3","MIN_WN",1,2048,7.08868884158
"W","S3","MIN_WN",1,2049,6.73424248510218
"W","S3","MIN_WN",1,2050,6.3975415743989
"W","S3","MIN_GS",1,2019,122.21770387132
"W","S3","MIN_GS",1,2020,116.650248329893
"W","S3","MIN_GS",1,2021,1625.93302367536
