PROVINCE,MONTH,DAY,HOUR,VALUE
BC,1,18,13,8691.0
BC,1,18,14,8659.0
BC,1,18,15,8607.0
BC,1,18,16,8705.0
BC,1,18,17,9023.0
BC,1,18,18,9300.0
BC,1,18,19,9129.0
BC,1,18,20,8914.0
BC,1,18,21,8680.0
BC,1,18,22,8365.0
BC,1,18,23,7991.0
BC,1,18,24,7560.0
BC,1,19,1,7208.0
BC,1,19,2,6976.0
BC,1,19,3,6854.0
BC,1,19,4,6755.0
BC,1,19,5,6795.0
BC,1,19,6,6960.0
BC,1,19,7,7190.0
BC,1,19,8,7661.0
BC,1,19,9,8056.0
BC,1,19,10,8238.0
BC,1,19,11,8282.0
BC,1,19,12,8221.0
BC,1,19,13,8131.0
BC,1,19,14,8020.0
BC,1,19,15,7954.0
BC,1,19,16,8064.0
BC,1,19,17,8294.0
BC,1,19,18,8752.0
BC,1,19,19,8661.0
BC,1,19,20,8471.0
BC,1,19,21,8293.0
BC,1,19,22,8064.0
BC,1,19,23,7671.0
BC,1,19,24,7347.0
BC,1,20,1,7072.0
BC,1,20,2,6938.0
BC,1,20,3,6877.0
BC,1,20,4,6871.0
BC,1,20,5,6941.0
BC,1,20,6,7071.0
BC,1,20,7,7376.0
BC,1,20,8,7768.0
BC,1,20,9,8168.0
BC,1,20,10,8437.0
BC,1,20,11,8475.0
BC,1,20,12,8366.0
BC,1,20,13,8222.0
BC,1,20,14,8126.0
BC,1,20,15,8031.0
BC,1,20,16,8073.0
BC,1,20,17,8473.0
BC,1,20,18,9094.0
BC,1,20,19,9046.0
BC,1,20,20,8918.0
BC,1,20,21,8677.0
BC,1,20,22,8376.0
BC,1,20,23,7946.0
BC,1,20,24,7482.0
BC,1,21,1,7203.0
BC,1,21,2,7090.0
BC,1,21,3,7083.0
BC,1,21,4,7092.0
BC,1,21,5,7247.0
BC,1,21,6,7660.0
BC,1,21,7,8426.0
BC,1,21,8,9209.0
BC,1,21,9,9366.0
BC,1,21,10,9286.0
BC,1,21,11,9177.0
BC,1,21,12,9001.0
BC,1,21,13,8874.0
BC,1,21,14,8686.0
BC,1,21,15,8556.0
BC,1,21,16,8646.0
BC,1,21,17,9024.0
BC,1,21,18,9629.0
BC,1,21,19,9581.0
BC,1,21,20,9386.0
BC,1,21,21,9127.0
BC,1,21,22,8746.0
BC,1,21,23,8125.0
BC,1,21,24,7691.0
BC,1,22,1,7313.0
BC,1,22,2,7199.0
BC,1,22,3,7110.0
BC,1,22,4,7099.0
BC,1,22,5,7197.0
BC,1,22,6,7628.0
BC,1,22,7,8292.0
BC,1,22,8,9002.0
BC,1,22,9,9138.0
BC,1,22,10,9064.0
BC,1,22,11,9043.0
BC,1,22,12,8997.0
BC,1,22,13,8947.0
BC,1,22,14,8882.0
BC,1,22,15,8852.0
BC,1,22,16,8954.0
BC,1,22,17,9354.0
BC,1,22,18,9691.0
BC,1,22,19,9618.0
BC,1,22,20,9437.0
BC,1,22,21,9188.0
BC,1,22,22,8800.0
BC,1,22,23,8263.0
BC,1,22,24,7707.0
